protocol,rtt_ms,loss_pct,jitter_ms,object_mix,run_id,num_objects,bytes_total,completion_time_ms,throughput_mbps,negotiated_protocols,success,qdisc_snapshot
h2,50,0,0,many_small,1,300,3072000,751.7580540152267,32.69136907644254,HTTP/2,True,qdisc netem 80fc: root refcnt 25 limit 1000 delay 50ms
h2,50,0,0,many_small,2,300,3072000,758.1179550033994,32.417119048301394,HTTP/2,True,qdisc netem 80fc: root refcnt 25 limit 1000 delay 50ms
h2,50,0,0,many_small,3,300,3072000,759.4039469840936,32.36222315883587,HTTP/2,True,qdisc netem 80fc: root refcnt 25 limit 1000 delay 50ms
h2,50,0,0,many_small,4,300,3072000,760.7539109885693,32.30479613054433,HTTP/2,True,qdisc netem 80fc: root refcnt 25 limit 1000 delay 50ms
h2,50,0,0,many_small,5,300,3072000,721.2608450208791,34.07366443036094,HTTP/2,True,qdisc netem 80fc: root refcnt 25 limit 1000 delay 50ms
h2,50,0,0,many_small,6,300,3072000,745.5116000492126,32.96528182576595,HTTP/2,True,qdisc netem 80fc: root refcnt 25 limit 1000 delay 50ms
h2,50,0,0,many_small,7,300,3072000,753.268703003414,32.625807898311976,HTTP/2,True,qdisc netem 80fc: root refcnt 25 limit 1000 delay 50ms
h2,50,0,0,many_small,8,300,3072000,764.7231739829294,32.137119465074036,HTTP/2,True,qdisc netem 80fc: root refcnt 25 limit 1000 delay 50ms
h2,50,0,0,many_small,9,300,3072000,750.2097600372508,32.758838006559266,HTTP/2,True,qdisc netem 80fc: root refcnt 25 limit 1000 delay 50ms
h2,50,0,0,many_small,10,300,3072000,723.4584920224734,33.97015899460418,HTTP/2,True,qdisc netem 80fc: root refcnt 25 limit 1000 delay 50ms
h2,50,0,0,many_small,11,300,3072000,762.8621509647928,32.21551884428753,HTTP/2,True,qdisc netem 80fc: root refcnt 25 limit 1000 delay 50ms
h2,50,0,0,many_small,12,300,3072000,731.465251010377,33.598315116204134,HTTP/2,True,qdisc netem 80fc: root refcnt 25 limit 1000 delay 50ms
h2,50,0,0,many_small,13,300,3072000,737.4997870065272,33.32339945446316,HTTP/2,True,qdisc netem 80fc: root refcnt 25 limit 1000 delay 50ms
h2,50,0,0,many_small,14,300,3072000,729.1693849838339,33.70410292328012,HTTP/2,True,qdisc netem 80fc: root refcnt 25 limit 1000 delay 50ms
h2,50,0,0,many_small,15,300,3072000,708.06294598151,34.7087785619582,HTTP/2,True,qdisc netem 80fc: root refcnt 25 limit 1000 delay 50ms
h2,50,0,0,many_small,16,300,3072000,712.1266039903276,34.510717423406085,HTTP/2,True,qdisc netem 80fc: root refcnt 25 limit 1000 delay 50ms
h2,50,0,0,many_small,17,300,3072000,748.4714469756,32.834919888134586,HTTP/2,True,qdisc netem 80fc: root refcnt 25 limit 1000 delay 50ms
h2,50,0,0,many_small,18,300,3072000,752.7782800025307,32.647063089967716,HTTP/2,True,qdisc netem 80fc: root refcnt 25 limit 1000 delay 50ms
h2,50,0,0,many_small,19,300,3072000,764.1978290048428,32.1592120092823,HTTP/2,True,qdisc netem 80fc: root refcnt 25 limit 1000 delay 50ms
h2,50,0,0,many_small,20,300,3072000,731.5002140239812,33.596709240599495,HTTP/2,True,qdisc netem 80fc: root refcnt 25 limit 1000 delay 50ms
h2,50,0,0,many_small,21,300,3072000,729.0096420329064,33.711488275337075,HTTP/2,True,qdisc netem 80fc: root refcnt 25 limit 1000 delay 50ms
h2,50,0,0,many_small,22,300,3072000,717.0426580123603,34.27411148469825,HTTP/2,True,qdisc netem 80fc: root refcnt 25 limit 1000 delay 50ms
h2,50,0,0,many_small,23,300,3072000,808.9712919900194,30.379322781089748,HTTP/2,True,qdisc netem 80fc: root refcnt 25 limit 1000 delay 50ms
h2,50,0,0,many_small,24,300,3072000,745.42317900341,32.969192120986584,HTTP/2,True,qdisc netem 80fc: root refcnt 25 limit 1000 delay 50ms
h2,50,0,0,many_small,25,300,3072000,712.2389319702052,34.505274700468185,HTTP/2,True,qdisc netem 80fc: root refcnt 25 limit 1000 delay 50ms
h2,50,0,0,many_small,26,300,3072000,735.997381969355,33.39142312468617,HTTP/2,True,qdisc netem 80fc: root refcnt 25 limit 1000 delay 50ms
h2,50,0,0,many_small,27,300,3072000,725.7789819850586,33.86154822613193,HTTP/2,True,qdisc netem 80fc: root refcnt 25 limit 1000 delay 50ms
h2,50,0,0,many_small,28,300,3072000,722.850238031242,33.998743732775544,HTTP/2,True,qdisc netem 80fc: root refcnt 25 limit 1000 delay 50ms
h2,50,0,0,many_small,29,300,3072000,713.6232950142585,34.43833766596558,HTTP/2,True,qdisc netem 80fc: root refcnt 25 limit 1000 delay 50ms
h2,50,0,0,many_small,30,300,3072000,837.7288129995577,29.336462610141805,HTTP/2,True,qdisc netem 80fc: root refcnt 25 limit 1000 delay 50ms
h2,50,0,0,many_small,31,300,3072000,731.8071160116233,33.582619603291285,HTTP/2,True,qdisc netem 80fc: root refcnt 25 limit 1000 delay 50ms
h2,50,0,0,many_small,32,300,3072000,716.0721769905649,34.32056263278585,HTTP/2,True,qdisc netem 80fc: root refcnt 25 limit 1000 delay 50ms
h2,50,0,0,many_small,33,300,3072000,772.7939810138196,31.80148992330275,HTTP/2,True,qdisc netem 80fc: root refcnt 25 limit 1000 delay 50ms
h2,50,0,0,many_small,34,300,3072000,734.1002330067568,33.477717204012656,HTTP/2,True,qdisc netem 80fc: root refcnt 25 limit 1000 delay 50ms
h2,50,0,0,many_small,35,300,3072000,748.6004699603654,32.82926071540027,HTTP/2,True,qdisc netem 80fc: root refcnt 25 limit 1000 delay 50ms
h2,50,0,0,many_small,36,300,3072000,746.1711990181357,32.93614123989082,HTTP/2,True,qdisc netem 80fc: root refcnt 25 limit 1000 delay 50ms
h2,50,0,0,many_small,37,300,3072000,733.3910450106487,33.510090104308766,HTTP/2,True,qdisc netem 80fc: root refcnt 25 limit 1000 delay 50ms
h2,50,0,0,many_small,38,300,3072000,732.573127024807,33.547504124005066,HTTP/2,True,qdisc netem 80fc: root refcnt 25 limit 1000 delay 50ms
h2,50,0,0,many_small,39,300,3072000,739.4259069697,33.23659580811397,HTTP/2,True,qdisc netem 80fc: root refcnt 25 limit 1000 delay 50ms
h2,50,0,0,many_small,40,300,3072000,773.6241209786385,31.767365227587828,HTTP/2,True,qdisc netem 80fc: root refcnt 25 limit 1000 delay 50ms
h2,50,1,0,many_small,1,300,3072000,838.6079790070653,29.305707333119646,HTTP/2,True,qdisc netem 80fd: root refcnt 25 limit 1000 delay 50ms loss 1%
h2,50,1,0,many_small,2,300,3072000,758.3774969680235,32.40602483361427,HTTP/2,True,qdisc netem 80fd: root refcnt 25 limit 1000 delay 50ms loss 1%
h2,50,1,0,many_small,3,300,3072000,889.3793870229274,27.632751960065892,HTTP/2,True,qdisc netem 80fd: root refcnt 25 limit 1000 delay 50ms loss 1%
h2,50,1,0,many_small,4,300,3072000,754.1823490173556,32.58628371775172,HTTP/2,True,qdisc netem 80fd: root refcnt 25 limit 1000 delay 50ms loss 1%
h2,50,1,0,many_small,5,300,3072000,771.6974330251105,31.846678436729118,HTTP/2,True,qdisc netem 80fd: root refcnt 25 limit 1000 delay 50ms loss 1%
h2,50,1,0,many_small,6,300,3072000,707.1019699797034,34.75594899092903,HTTP/2,True,qdisc netem 80fd: root refcnt 25 limit 1000 delay 50ms loss 1%
h2,50,1,0,many_small,7,300,3072000,738.9321509981528,33.258804569272876,HTTP/2,True,qdisc netem 80fd: root refcnt 25 limit 1000 delay 50ms loss 1%
h2,50,1,0,many_small,8,300,3072000,809.760885022115,30.34970008378315,HTTP/2,True,qdisc netem 80fd: root refcnt 25 limit 1000 delay 50ms loss 1%
h2,50,1,0,many_small,9,300,3072000,808.2074610283598,30.40803405691108,HTTP/2,True,qdisc netem 80fd: root refcnt 25 limit 1000 delay 50ms loss 1%
h2,50,1,0,many_small,10,300,3072000,764.3819140503183,32.151467150467134,HTTP/2,True,qdisc netem 80fd: root refcnt 25 limit 1000 delay 50ms loss 1%
h2,50,1,0,many_small,11,300,3072000,877.0893930341117,28.01994893015904,HTTP/2,True,qdisc netem 80fd: root refcnt 25 limit 1000 delay 50ms loss 1%
h2,50,1,0,many_small,12,300,3072000,780.1020210026763,31.503571761565386,HTTP/2,True,qdisc netem 80fd: root refcnt 25 limit 1000 delay 50ms loss 1%
h2,50,1,0,many_small,13,300,3072000,761.8807069957256,32.25701842078261,HTTP/2,True,qdisc netem 80fd: root refcnt 25 limit 1000 delay 50ms loss 1%
h2,50,1,0,many_small,14,300,3072000,750.278202991467,32.7558496328588,HTTP/2,True,qdisc netem 80fd: root refcnt 25 limit 1000 delay 50ms loss 1%
h2,50,1,0,many_small,15,300,3072000,730.1183250383474,33.66029745755144,HTTP/2,True,qdisc netem 80fd: root refcnt 25 limit 1000 delay 50ms loss 1%
h2,50,1,0,many_small,16,300,3072000,800.7347600068897,30.691811105825533,HTTP/2,True,qdisc netem 80fd: root refcnt 25 limit 1000 delay 50ms loss 1%
h2,50,1,0,many_small,17,300,3072000,786.4491729997098,31.249317621202543,HTTP/2,True,qdisc netem 80fd: root refcnt 25 limit 1000 delay 50ms loss 1%
h2,50,1,0,many_small,18,300,3072000,790.8663409762084,31.07478309124211,HTTP/2,True,qdisc netem 80fd: root refcnt 25 limit 1000 delay 50ms loss 1%
h2,50,1,0,many_small,19,300,3072000,1081.0120910173282,22.734250804606454,HTTP/2,True,qdisc netem 80fd: root refcnt 25 limit 1000 delay 50ms loss 1%
h2,50,1,0,many_small,20,300,3072000,771.8157590134069,31.8417960672569,HTTP/2,True,qdisc netem 80fd: root refcnt 25 limit 1000 delay 50ms loss 1%
h2,50,1,0,many_small,21,300,3072000,759.0714790276252,32.37639758443038,HTTP/2,True,qdisc netem 80fd: root refcnt 25 limit 1000 delay 50ms loss 1%
h2,50,1,0,many_small,22,300,3072000,721.868906985037,34.04496268255174,HTTP/2,True,qdisc netem 80fd: root refcnt 25 limit 1000 delay 50ms loss 1%
h2,50,1,0,many_small,23,300,3072000,805.7479690178297,30.500852555616156,HTTP/2,True,qdisc netem 80fd: root refcnt 25 limit 1000 delay 50ms loss 1%
h2,50,1,0,many_small,24,300,3072000,762.8465720335953,32.21617675292862,HTTP/2,True,qdisc netem 80fd: root refcnt 25 limit 1000 delay 50ms loss 1%
h2,50,1,0,many_small,25,300,3072000,816.5949920075946,30.09570257047503,HTTP/2,True,qdisc netem 80fd: root refcnt 25 limit 1000 delay 50ms loss 1%
h2,50,1,0,many_small,26,300,3072000,770.9378019790165,31.8780580442583,HTTP/2,True,qdisc netem 80fd: root refcnt 25 limit 1000 delay 50ms loss 1%
h2,50,1,0,many_small,27,300,3072000,768.2070789742284,31.991374035261227,HTTP/2,True,qdisc netem 80fd: root refcnt 25 limit 1000 delay 50ms loss 1%
h2,50,1,0,many_small,28,300,3072000,795.220565982163,30.90463331974647,HTTP/2,True,qdisc netem 80fd: root refcnt 25 limit 1000 delay 50ms loss 1%
h2,50,1,0,many_small,29,300,3072000,826.9409909844398,29.71917013176873,HTTP/2,True,qdisc netem 80fd: root refcnt 25 limit 1000 delay 50ms loss 1%
h2,50,1,0,many_small,30,300,3072000,827.8586369706318,29.686227699369685,HTTP/2,True,qdisc netem 80fd: root refcnt 25 limit 1000 delay 50ms loss 1%
h2,50,1,0,many_small,31,300,3072000,776.4633699553087,31.651203329030874,HTTP/2,True,qdisc netem 80fd: root refcnt 25 limit 1000 delay 50ms loss 1%
h2,50,1,0,many_small,32,300,3072000,754.3571320129558,32.57873354285184,HTTP/2,True,qdisc netem 80fd: root refcnt 25 limit 1000 delay 50ms loss 1%
h2,50,1,0,many_small,33,300,3072000,725.6302189780399,33.86849025473642,HTTP/2,True,qdisc netem 80fd: root refcnt 25 limit 1000 delay 50ms loss 1%
h2,50,1,0,many_small,34,300,3072000,841.0825009923428,29.219487946787922,HTTP/2,True,qdisc netem 80fd: root refcnt 25 limit 1000 delay 50ms loss 1%
h2,50,1,0,many_small,35,300,3072000,757.162842026446,32.45801119112712,HTTP/2,True,qdisc netem 80fd: root refcnt 25 limit 1000 delay 50ms loss 1%
h2,50,1,0,many_small,36,300,3072000,810.9171470277943,30.306425372896516,HTTP/2,True,qdisc netem 80fd: root refcnt 25 limit 1000 delay 50ms loss 1%
h2,50,1,0,many_small,37,300,3072000,806.8291800445877,30.459979147806553,HTTP/2,True,qdisc netem 80fd: root refcnt 25 limit 1000 delay 50ms loss 1%
h2,50,1,0,many_small,38,300,3072000,812.3238389962353,30.253944080193243,HTTP/2,True,qdisc netem 80fd: root refcnt 25 limit 1000 delay 50ms loss 1%
h2,50,1,0,many_small,39,300,3072000,748.4135029953904,32.837462046901855,HTTP/2,True,qdisc netem 80fd: root refcnt 25 limit 1000 delay 50ms loss 1%
h2,50,1,0,many_small,40,300,3072000,746.1221530102193,32.93830628248803,HTTP/2,True,qdisc netem 80fd: root refcnt 25 limit 1000 delay 50ms loss 1%
h2,50,3,0,many_small,1,300,3072000,801.5638639917597,30.660064785870446,HTTP/2,True,qdisc netem 80fe: root refcnt 25 limit 1000 delay 50ms loss 3%
h2,50,3,0,many_small,2,300,3072000,912.4035109998658,26.93545093120933,HTTP/2,True,qdisc netem 80fe: root refcnt 25 limit 1000 delay 50ms loss 3%
h2,50,3,0,many_small,3,300,3072000,821.750189003069,29.906899114699463,HTTP/2,True,qdisc netem 80fe: root refcnt 25 limit 1000 delay 50ms loss 3%
h2,50,3,0,many_small,4,300,3072000,1093.0616449913941,22.48363586135482,HTTP/2,True,qdisc netem 80fe: root refcnt 25 limit 1000 delay 50ms loss 3%
h2,50,3,0,many_small,5,300,3072000,773.6976859741844,31.76434471179227,HTTP/2,True,qdisc netem 80fe: root refcnt 25 limit 1000 delay 50ms loss 3%
h2,50,3,0,many_small,6,300,3072000,791.8611610075459,31.03574365073047,HTTP/2,True,qdisc netem 80fe: root refcnt 25 limit 1000 delay 50ms loss 3%
h2,50,3,0,many_small,7,300,3072000,875.4912680014968,28.071096649656116,HTTP/2,True,qdisc netem 80fe: root refcnt 25 limit 1000 delay 50ms loss 3%
h2,50,3,0,many_small,8,300,3072000,784.3953659757972,31.331138691044107,HTTP/2,True,qdisc netem 80fe: root refcnt 25 limit 1000 delay 50ms loss 3%
h2,50,3,0,many_small,9,300,3072000,812.9369749804027,30.231125851536582,HTTP/2,True,qdisc netem 80fe: root refcnt 25 limit 1000 delay 50ms loss 3%
h2,50,3,0,many_small,10,300,3072000,838.148035982158,29.321789164847676,HTTP/2,True,qdisc netem 80fe: root refcnt 25 limit 1000 delay 50ms loss 3%
h2,50,3,0,many_small,11,300,3072000,762.7209629863501,32.2214822885887,HTTP/2,True,qdisc netem 80fe: root refcnt 25 limit 1000 delay 50ms loss 3%
h2,50,3,0,many_small,12,300,3072000,765.9880580031313,32.08405110657683,HTTP/2,True,qdisc netem 80fe: root refcnt 25 limit 1000 delay 50ms loss 3%
h2,50,3,0,many_small,13,300,3072000,854.1437480016612,28.772674456141083,HTTP/2,True,qdisc netem 80fe: root refcnt 25 limit 1000 delay 50ms loss 3%
h2,50,3,0,many_small,14,300,3072000,1132.310678018257,21.70429059541532,HTTP/2,True,qdisc netem 80fe: root refcnt 25 limit 1000 delay 50ms loss 3%
h2,50,3,0,many_small,15,300,3072000,806.1428610235453,30.485911602313628,HTTP/2,True,qdisc netem 80fe: root refcnt 25 limit 1000 delay 50ms loss 3%
h2,50,3,0,many_small,16,300,3072000,811.1359040485695,30.298251966576036,HTTP/2,True,qdisc netem 80fe: root refcnt 25 limit 1000 delay 50ms loss 3%
h2,50,3,0,many_small,17,300,3072000,1017.4210770055652,24.15519056508161,HTTP/2,True,qdisc netem 80fe: root refcnt 25 limit 1000 delay 50ms loss 3%
h2,50,3,0,many_small,18,300,3072000,819.8505089967512,29.976196550848744,HTTP/2,True,qdisc netem 80fe: root refcnt 25 limit 1000 delay 50ms loss 3%
h2,50,3,0,many_small,19,300,3072000,799.2834470351227,30.747540301457118,HTTP/2,True,qdisc netem 80fe: root refcnt 25 limit 1000 delay 50ms loss 3%
h2,50,3,0,many_small,20,300,3072000,940.2667460381053,26.137263817478484,HTTP/2,True,qdisc netem 80fe: root refcnt 25 limit 1000 delay 50ms loss 3%
h2,50,3,0,many_small,21,300,3072000,867.0204309746623,28.345352799094773,HTTP/2,True,qdisc netem 80fe: root refcnt 25 limit 1000 delay 50ms loss 3%
h2,50,3,0,many_small,22,300,3072000,893.011951004155,27.52034838096546,HTTP/2,True,qdisc netem 80fe: root refcnt 25 limit 1000 delay 50ms loss 3%
h2,50,3,0,many_small,23,300,3072000,810.7210010057315,30.31375771629512,HTTP/2,True,qdisc netem 80fe: root refcnt 25 limit 1000 delay 50ms loss 3%
h2,50,3,0,many_small,24,300,3072000,780.5729019455612,31.4845672181866,HTTP/2,True,qdisc netem 80fe: root refcnt 25 limit 1000 delay 50ms loss 3%
h2,50,3,0,many_small,25,300,3072000,846.457714040298,29.033937067800164,HTTP/2,True,qdisc netem 80fe: root refcnt 25 limit 1000 delay 50ms loss 3%
h2,50,3,0,many_small,26,300,3072000,804.2379810358398,30.558119088514925,HTTP/2,True,qdisc netem 80fe: root refcnt 25 limit 1000 delay 50ms loss 3%
h2,50,3,0,many_small,27,300,3072000,760.6617799610831,32.30870887355134,HTTP/2,True,qdisc netem 80fe: root refcnt 25 limit 1000 delay 50ms loss 3%
h2,50,3,0,many_small,28,300,3072000,778.9074759930372,31.55188614497223,HTTP/2,True,qdisc netem 80fe: root refcnt 25 limit 1000 delay 50ms loss 3%
h2,50,3,0,many_small,29,300,3072000,760.3584009921178,32.321599877022685,HTTP/2,True,qdisc netem 80fe: root refcnt 25 limit 1000 delay 50ms loss 3%
h2,50,3,0,many_small,30,300,3072000,813.075079000555,30.225990975162116,HTTP/2,True,qdisc netem 80fe: root refcnt 25 limit 1000 delay 50ms loss 3%
h2,50,3,0,many_small,31,300,3072000,835.4569439543411,29.416237638385244,HTTP/2,True,qdisc netem 80fe: root refcnt 25 limit 1000 delay 50ms loss 3%
h2,50,3,0,many_small,32,300,3072000,778.9156209910288,31.551556211867336,HTTP/2,True,qdisc netem 80fe: root refcnt 25 limit 1000 delay 50ms loss 3%
h2,50,3,0,many_small,33,300,3072000,800.7171039935201,30.69248786797351,HTTP/2,True,qdisc netem 80fe: root refcnt 25 limit 1000 delay 50ms loss 3%
h2,50,3,0,many_small,34,300,3072000,782.5259889941663,31.40598567414892,HTTP/2,True,qdisc netem 80fe: root refcnt 25 limit 1000 delay 50ms loss 3%
h2,50,3,0,many_small,35,300,3072000,837.4545649858192,29.34606965861623,HTTP/2,True,qdisc netem 80fe: root refcnt 25 limit 1000 delay 50ms loss 3%
h2,50,3,0,many_small,36,300,3072000,1808.9939940255135,13.585451406232467,HTTP/2,True,qdisc netem 80fe: root refcnt 25 limit 1000 delay 50ms loss 3%
